welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     164 : 52 : 216        moving average 500:   32.8% (max - stddev = 30.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     165 : 52 : 217        moving average 500:   33.0% (max - stddev = 31.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     166 : 52 : 218        moving average 500:   33.2% (max - stddev = 31.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     166 : 53 : 219        moving average 500:   33.2% (max - stddev = 31.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     167 : 53 : 220        moving average 500:   33.4% (max - stddev = 31.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     168 : 53 : 221        moving average 500:   33.6% (max - stddev = 31.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     169 : 53 : 222        moving average 500:   33.8% (max - stddev = 31.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     170 : 53 : 223        moving average 500:   34.0% (max - stddev = 32.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     171 : 53 : 224        moving average 500:   34.2% (max - stddev = 32.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     172 : 53 : 225        moving average 500:   34.4% (max - stddev = 32.40%), std-dev of this is ~2%
